Q,label
날씨 알려주겠니,weather
날씨 정보 알려주세요,weather
그 때 기온 어떨까,weather
그 때 기온 좋으려나,weather
기온 어떨 것 같은데,weather
기온 어때,weather
기온 말해줄래,weather
기온 어떠니,weather
구름 많이 꼈나,weather
기온 어떠냐,weather
야 기온 어때,weather
날씨 맑을까,weather
내일 날씨 덥냐,weather
모레 날씨 흐리냐,weather
오늘 우산 써야 할까,weather
오늘 날씨 흐리냐,weather
날씨 덥냐,weather
오늘 날씨 맑니,weather
내일 날씨 덥냐,weather
어떤데 날씨,weather
날씨 어떤데,weather
서울 날씨 덥냐,weather
내일 습도 어때,weather
습도 어떠냐,weather
날씨 정보 알려줘봐,weather
날씨 어떠냐,weather
내일 기온 어때,weather
내일 구름 많아,weather
내일 하늘 어때,weather
내일 맑을까,weather
모레 기온 떨어져,weather
기온이 떨어질까,weather
기온이 올라갈까,weather
날씨,weather
날씨 알려주삼,weather
날씨 좀 알려줘,weather
내일 추울까,weather
오늘 추워,weather
패딩 입어야 할까,weather
코트 입어야 할까,weather
비 오는지 알려줄레,weather
비 와,weather
눈이 올까,weather
오늘 눈이 올까,weather
눈이 얼마나 올까,weather
비가 얼마나 올까,weather
날씨가 흐릴까,weather
비 오는지 말해 줘봐,weather
눈 올지 알려주세요,weather
날씨 좀 알려주세요,weather
날씨 좀 알려 줄 수 있니,weather
비 오냐,weather
눈 오냐,weather
날씨 좀 알려줘봐,weather
날씨 어때,weather
구름 어때,weather
눈 오는지 알려줘봐,weather
눈 오는지 알려줘,weather
눈 옵니까,weather
비 옵니까,weather
비 오는지 알려줘봐,weather
비 오는지 알려줘라,weather
날씨 좀 알려줘봐,weather
비 오는지 알려 줄 수 있니,weather
날씨가 눈이 올까,weather
날씨가 비가 올까,weather
먼지가 어때,weather
구름 많음,weather
구름 적음,weather
오늘 날씨 좀 알려줘,weather
오늘 날씨 좀 알려줘봐,weather
눈 올지 말해 줘라,weather
눈 올지 알려 줘,weather
비 올지 알려 줘,weather
비 올지 알려 줘봐,weather
날씨 정보,weather
날씨 어떤지 알려줘봐,weather
날씨 어떤지 말해줘,weather
날씨 뭔데,weather
눈 올지 알려줘,weather
비 올지 알려주세요,weather
비 오는지 알려 줘 주세요,weather
눈 오냐고,weather
비 오냐고,weather
날씨 어떠냐,weather
구름 정보 알려줘,weather
비 정보 알려줘,weather
눈 정보 알려줘,weather
날씨가 추워질까요,weather
날씨가 덥니,weather
날씨가 더워지니,weather
날씨가 더워질까요,weather
날씨 더워,weather
날씨 추워,weather
날씨가 추워 질까,weather
날씨가 추워지니,weather
날씨가 추워지나요,weather
날씨는 어떨까,weather
날씨 정보,weather
우산이 필요할까,weather
우산 필요해,weather
옷차림 어떻게 해야될까,weather
옷을 어떻게 입어야 할까,weather
날씨는 눈이 와,weather
눈이 올까요,weather
비가 올까 봐줄래,weather
비가 오는 지 봐줄래,weather
패딩 입을 날씨 야,weather
패딩을 입어야 할까,weather
비가 오는지 봐줄 수 있어,weather
비가 올 수 있을까,weather
내일 날씨 눈이 올까,weather
내일 날씨 비가 올까,weather
내일 눈이 오는 지 바줄 수 있어,weather
모레 날씨 오는지 알 수 있을까,weather
강남구 날씨 어때,weather
날씨 어떤지 알수 있어,weather
날씨가 어떤지 알려줘봐,weather
우산을 써야하나,weather
날씨가 추울까,weather
날씨가 더울까,weather
날씨가 맑아질까,weather
날씨가 흐려질까,weather
하늘이 흐려질가,weather
구름이 많아 질까,weather
구름 많어,weather
하늘이 흐려질까,weather
동네 날씨 좀 알려줄래,weather
동네 날씨,weather
이봐 날씨 좀 알려줄래,weather
어이 날씨 좀 알려줘,weather
이봐 날씨 어떤데,weather
서울 금천구 우산 필요하냐,weather
서울 용산구 날씨 맑을까,weather
서울 중구 맑을까,weather
서울 강북구 비오니,weather
서울 영등포구 비오니,weather
서울 서대문구 날씨 흐릴까,weather
서울 강동구 우산 필요하니,weather
서울 중랑구 맑니,weather
서울 종로구 우산 써야하니,weather
서울 노원구 흐릴까,weather
서울 동대문구 맑니,weather
서울 은평구 날씨 어때,weather
서울 강북구 날씨 추울까,weather
서울 강서구 추울까,weather
서울 도봉구 우산 필요해,weather
서울 강북구 날씨 어떠냐,weather
서울 송파구 우산 가져가야하니,weather
서울 용산구 흐리냐,weather
서울 광진구 날씨 어떠니,weather
서울 송파구 눈 오니,weather
서울 강서구 눈 오냐,weather
서울 성동구 비오니,weather
서울 금천구 우산 챙겨야해,weather
서울 영등포구 날씨 어떠니,weather
서울 강북구 우산 써야 할까,weather
서울 용산구 날씨 흐리니,weather
서울 강남구 날씨 흐리니,weather
서울 용산구 덥니,weather
서울 성동구 우산 가져가야하니,weather
서울 중랑구 춥냐,weather
서울 강북구 날씨 더울까,weather
서울 도봉구 눈 올까,weather
서울 동대문구 흐리니,weather
서울 관악구 우산 써야하니,weather
서울 관악구 덥냐,weather
서울 노원구 비 올까,weather
서울 종로구 춥니,weather
서울 강서구 눈 올까,weather
서울 강남구 흐릴까,weather
서울 강동구 춥냐,weather
서울 서대문구 우산 써야하니,weather
서울 동작구 우산 필요하냐,weather
서울 중랑구 날씨 맑냐,weather
서울 양천구 흐리냐,weather
서울 노원구 날씨 흐리냐,weather
서울 송파구 날씨 덥냐,weather
서울 강남구 날씨 어떠냐,weather
서울 중구 날씨 춥니,weather
서울 구로구 날씨 춥냐,weather
서울 도봉구 날씨 어떠니,weather
서울 강북구 흐리냐,weather
서울 동작구 우산 필요하니,weather
서울 관악구 우산 챙겨야해,weather
서울 성동구 흐릴까,weather
서울 노원구 우산 필요하니,weather
서울 성동구 날씨 맑을까,weather
서울 중랑구 날씨 흐릴까,weather
서울 광진구 비오니,weather
서울 구로구 우산 써야하니,weather
서울 성북구 우산 필요해,weather
서울 동작구 우산 쓸까,weather
서울 성동구 눈 올까,weather
서울 광진구 날씨 어때,weather
서울 강동구 추울까,weather
서울 종로구 덥냐,weather
서울 강서구 비오냐,weather
서울 강남구 날씨 춥니,weather
서울 영등포구 흐리니,weather
서울 동대문구 날씨 맑냐,weather
서울 광진구 흐리냐,weather
서울 동대문구 춥니,weather
서울 금천구 우산 가져갈까,weather
서울 광진구 덥니,weather
서울 서대문구 더울까,weather
서울 양천구 우산 챙길까,weather
서울 강서구 춥냐,weather
서울 광진구 흐리니,weather
서울 구로구 날씨 추울까,weather
서울 양천구 눈 오니,weather
서울 영등포구 맑니,weather
서울 강서구 날씨 덥냐,weather
서울 서대문구 우산 필요해,weather
서울 성동구 추울까,weather
서울 마포구 우산 챙겨야 할까,weather
서울 강서구 흐리냐,weather
서울 강북구 눈 오냐,weather
서울 용산구 덥냐,weather
서울 금천구 날씨 어떠냐,weather
서울 동대문구 추울까,weather
서울 중랑구 날씨 어떠냐,weather
서울 영등포구 우산 챙겨야 할까,weather
서울 강남구 날씨 맑니,weather
서울 종로구 우산 써야 할까,weather
서울 동작구 날씨 어떠니,weather
서울 중랑구 우산 가져갈까,weather
서울 강서구 날씨 어때,weather
서울 용산구 흐릴까,weather
서울 송파구 날씨 어떠냐,weather
서울 양천구 우산 챙겨야해,weather
서울 동작구 날씨 맑을까,weather
서울 동대문구 날씨 추울까,weather
서울 노원구 춥냐,weather
